Country_name,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Year_bin
Afghanistan,very_low,very_low,very_low,very_low,low,very_high,high,very_low,medium,2005
Afghanistan,very_low,very_low,very_low,very_low,low,very_high,high,very_low,low,2005
Afghanistan,low,very_low,very_low,very_low,very_low,high,low,low,medium,2010
Afghanistan,very_low,very_low,very_low,very_low,very_low,very_high,low,low,medium,2010
Afghanistan,very_low,very_low,very_low,very_low,very_low,very_high,medium,medium,medium,2010
Afghanistan,very_low,very_low,very_low,very_low,very_low,high,medium,low,medium,2010
Afghanistan,very_low,very_low,very_low,very_low,very_low,high,high,very_low,very_high,2010
Afghanistan,very_low,very_low,very_low,very_low,very_low,high,high,very_low,very_high,2015
Afghanistan,very_low,very_low,very_low,very_low,very_low,high,medium,very_low,very_high,2015
Afghanistan,very_low,very_low,very_low,very_low,very_low,low,very_high,very_low,very_high,2015
Afghanistan,very_low,very_low,very_low,very_low,very_low,low,very_high,very_low,very_high,2015
Afghanistan,very_low,very_low,very_low,very_low,very_low,low,very_high,very_low,very_high,2015
Albania,low,low,medium,medium,very_low,medium,high,very_low,medium,2005
Albania,medium,medium,medium,medium,very_low,very_low,high,low,medium,2005
Albania,medium,medium,low,high,very_low,very_low,low,low,high,2010
Albania,high,medium,low,high,very_low,very_low,high,low,medium,2010
Albania,medium,medium,low,high,very_low,very_low,high,low,medium,2010
Albania,low,medium,low,high,low,low,high,low,very_high,2010
Albania,low,medium,very_low,high,medium,medium,high,low,high,2010
Albania,low,medium,very_low,high,low,low,high,medium,very_high,2015
Albania,low,medium,very_low,high,medium,medium,very_high,low,high,2015
Albania,low,medium,very_low,high,medium,medium,high,low,high,2015
Albania,low,medium,very_low,high,high,medium,very_high,medium,high,2015
Albania,low,medium,very_low,high,medium,low,very_high,low,medium,2015
Albania,medium,medium,very_low,high,medium,medium,very_high,low,medium,2020
Algeria,medium,medium,,medium,very_low,very_low,very_low,,,2010
Algeria,medium,medium,medium,medium,very_low,very_low,very_low,very_low,medium,2010
Algeria,medium,medium,medium,medium,very_low,very_low,low,very_low,low,2010
Algeria,high,medium,medium,medium,,,,low,very_low,2010
Algeria,medium,medium,low,medium,,,,low,very_high,2015
Algeria,medium,medium,low,medium,very_low,very_low,low,low,high,2015
Algeria,low,medium,low,medium,very_low,very_low,low,very_low,high,2015
Algeria,low,medium,low,medium,very_low,medium,low,very_low,low,2015
Angola,medium,low,very_low,very_low,very_low,high,very_high,low,very_high,2010
Angola,very_low,low,low,very_low,very_low,low,very_high,very_low,high,2010
Angola,very_low,low,very_low,very_low,very_low,low,medium,low,very_high,2010
Angola,very_low,low,low,very_low,very_low,very_low,high,very_low,very_high,2010
Argentina,high,high,very_high,high,medium,very_low,high,very_high,high,2005
Argentina,high,high,medium,high,low,very_low,high,very_high,medium,2005
Argentina,high,high,high,high,low,low,high,very_high,high,2005
Argentina,high,high,very_high,high,low,low,high,very_high,low,2005
Argentina,high,high,very_high,high,medium,low,high,very_high,low,2010
Argentina,very_high,high,high,high,high,very_low,low,very_high,low,2010
Argentina,high,high,high,high,medium,very_low,medium,very_high,medium,2010
Argentina,very_high,high,high,high,medium,low,medium,very_high,medium,2010
Argentina,very_high,high,very_high,high,medium,very_low,high,very_high,medium,2010
Argentina,very_high,high,very_high,high,very_high,very_low,high,very_high,high,2015
Argentina,high,high,high,high,high,very_low,high,very_high,high,2015
Argentina,high,high,high,high,high,very_low,high,high,high,2015
Argentina,high,high,high,high,high,very_low,high,very_high,high,2015
Argentina,high,high,high,high,high,very_low,medium,very_high,high,2015
Argentina,high,high,high,high,high,low,medium,high,very_high,2020
Armenia,very_low,low,very_low,medium,very_low,very_low,high,very_low,very_high,2005
Armenia,low,low,low,medium,very_low,very_low,medium,very_low,very_high,2005
Armenia,low,medium,very_low,medium,very_low,very_low,high,very_low,very_high,2005
Armenia,very_low,low,very_low,medium,very_low,very_low,high,very_low,very_high,2005
Armenia,very_low,low,very_low,medium,very_low,very_low,very_high,very_low,very_high,2010
Armenia,very_low,low,very_low,medium,very_low,very_low,high,very_low,very_high,2010
Armenia,very_low,medium,very_low,medium,very_low,very_low,very_high,very_low,very_high,2010
Armenia,very_low,medium,very_low,medium,very_low,very_low,very_high,very_low,very_high,2010
Armenia,very_low,medium,low,medium,very_low,very_low,very_high,very_low,very_high,2010
Armenia,very_low,medium,very_low,medium,very_low,very_low,very_high,very_low,very_high,2015
Armenia,very_low,medium,very_low,medium,very_low,very_low,very_high,very_low,very_high,2015
Armenia,very_low,medium,very_low,high,very_low,very_low,high,low,very_high,2015
Armenia,low,medium,medium,high,high,very_low,low,very_low,very_high,2015
Armenia,medium,medium,low,high,high,very_low,very_low,very_low,very_high,2015
Australia,very_high,very_high,very_high,very_high,very_high,,very_low,very_high,medium,2005
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2005
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2005
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2010
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,very_low,2010
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,low,2010
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,very_low,2010
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,medium,2010
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,low,2015
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,low,2015
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,low,2015
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,very_low,2015
Australia,very_high,very_high,very_high,very_high,very_high,high,very_low,high,low,2015
Australia,very_high,very_high,very_high,very_high,very_high,very_high,very_low,high,low,2020
Austria,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,very_low,2005
Austria,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,very_low,2005
Austria,very_high,very_high,high,very_high,very_high,very_high,very_low,high,very_low,2010
Austria,very_high,very_high,very_high,very_high,very_high,very_high,low,high,very_low,2010
Austria,very_high,very_high,very_high,very_high,very_high,high,medium,very_high,very_low,2010
Austria,very_high,very_high,very_high,very_high,very_high,very_high,low,high,very_low,2010
Austria,very_high,very_high,high,very_high,very_high,high,very_low,high,very_low,2010
Austria,very_high,very_high,very_high,very_high,very_high,high,very_low,high,very_low,2015
Austria,very_high,very_high,very_high,very_high,very_high,high,very_low,high,low,2015
Austria,very_high,very_high,high,very_high,very_high,very_high,very_low,medium,very_low,2015
Austria,very_high,very_high,high,very_high,very_high,high,very_low,medium,low,2015
Austria,very_high,very_high,very_high,very_high,very_high,high,very_low,high,low,2015
Austria,very_high,very_high,very_high,very_high,very_high,medium,very_low,high,low,2020
Azerbaijan,low,low,medium,low,medium,very_low,medium,very_low,medium,2005
Azerbaijan,low,medium,low,low,very_low,very_low,high,very_low,high,2005
Azerbaijan,low,medium,very_low,low,very_low,medium,low,very_low,low,2005
Azerbaijan,low,medium,low,low,very_low,low,low,very_low,low,2005
Azerbaijan,very_low,medium,very_low,low,very_low,low,high,very_low,medium,2010
Azerbaijan,low,medium,low,medium,very_low,low,medium,very_low,medium,2010
Azerbaijan,low,medium,low,medium,very_low,very_low,low,very_low,medium,2010
Azerbaijan,medium,medium,low,medium,low,very_low,low,low,medium,2010
Azerbaijan,medium,medium,low,medium,medium,very_low,low,very_low,low,2010
Azerbaijan,medium,medium,low,medium,medium,very_low,very_low,low,low,2015
Azerbaijan,medium,medium,low,medium,low,very_low,very_low,very_low,very_low,2015
Azerbaijan,medium,medium,low,medium,medium,very_low,low,very_low,low,2015
Azerbaijan,medium,medium,low,medium,medium,very_low,very_low,very_low,very_low,2015
Azerbaijan,medium,medium,high,medium,high,very_low,very_low,low,very_low,2015
Bahrain,medium,very_high,high,medium,very_high,high,very_low,high,very_high,2005
Bahrain,high,very_high,high,medium,high,medium,low,low,very_high,2010
Bahrain,low,very_high,high,high,high,medium,very_low,very_low,very_high,2010
Bahrain,low,very_high,high,high,low,,very_low,very_low,very_high,2010
Bahrain,very_high,very_high,high,high,high,,very_low,high,high,2010
Bahrain,high,very_high,,high,,,,,,2010
Bahrain,high,very_high,medium,high,high,high,,medium,high,2015
Bahrain,high,very_high,medium,high,very_high,high,,high,high,2015
Bahrain,high,very_high,high,high,very_high,very_high,,high,high,2015
Bahrain,very_high,very_high,high,high,very_high,high,,high,high,2015
Bahrain,high,very_high,medium,high,very_high,very_high,,high,high,2020
Bangladesh,very_low,very_low,very_low,low,very_low,high,medium,very_low,high,2005
Bangladesh,low,very_low,very_low,low,very_low,high,medium,low,high,2005
Bangladesh,low,very_low,very_low,low,very_low,medium,medium,medium,low,2005
Bangladesh,low,very_low,very_low,low,low,low,medium,low,low,2005
Bangladesh,low,very_low,very_low,low,low,medium,medium,low,high,2010
Bangladesh,low,very_low,very_low,low,high,low,low,low,low,2010
Bangladesh,low,very_low,very_low,low,low,medium,low,medium,very_low,2010
Bangladesh,low,very_low,very_low,low,medium,medium,low,low,medium,2010
Bangladesh,low,very_low,very_low,low,medium,low,medium,,low,2010
Bangladesh,low,low,very_low,low,high,low,low,low,low,2015
Bangladesh,low,low,very_low,low,high,low,low,very_low,low,2015
Bangladesh,very_low,low,very_low,medium,very_high,medium,very_low,very_low,low,2015
Bangladesh,low,low,very_low,medium,very_high,medium,low,very_low,very_high,2015
Bangladesh,medium,low,very_low,medium,very_high,medium,low,very_low,very_high,2015
Bangladesh,medium,low,low,medium,medium,medium,low,very_low,high,2020
Belarus,medium,medium,very_high,low,low,very_low,low,very_low,medium,2005
Belarus,medium,medium,medium,low,low,very_low,low,very_low,low,2005
Belarus,medium,medium,high,low,low,very_low,low,,medium,2005
Belarus,medium,medium,high,low,low,very_low,low,very_low,low,2005
Belarus,medium,medium,very_high,low,low,very_low,low,very_low,low,2010
Belarus,medium,high,high,low,low,very_low,low,very_low,medium,2010
Belarus,medium,high,high,low,low,very_low,low,very_low,very_low,2010
Belarus,high,high,very_high,medium,medium,very_low,low,low,low,2010
Belarus,high,high,high,medium,low,medium,low,low,low,2010
Belarus,medium,high,very_high,medium,very_low,low,low,very_low,very_low,2015
Belarus,medium,medium,very_high,medium,low,low,low,very_low,very_low,2015
Belarus,medium,high,high,medium,very_low,low,low,very_low,low,2015
Belarus,medium,high,high,medium,low,very_low,low,very_low,low,2015
Belarus,high,high,very_high,high,low,very_low,very_low,very_low,very_low,2015
Belgium,very_high,very_high,very_high,high,very_high,,very_low,high,medium,2005
Belgium,very_high,very_high,very_high,very_high,very_high,high,low,high,low,2005
Belgium,very_high,very_high,very_high,very_high,very_high,medium,low,high,medium,2005
Belgium,very_high,very_high,very_high,very_high,high,high,low,very_high,medium,2010
Belgium,very_high,very_high,very_high,very_high,very_high,medium,low,very_high,low,2010
Belgium,very_high,very_high,very_high,very_high,high,medium,low,very_high,medium,2010
Belgium,very_high,very_high,high,very_high,very_high,high,very_low,high,low,2010
Belgium,very_high,very_high,very_high,very_high,high,medium,very_low,high,medium,2010
Belgium,very_high,very_high,high,very_high,high,high,very_low,high,medium,2015
Belgium,very_high,very_high,very_high,very_high,high,medium,very_low,high,medium,2015
Belgium,very_high,very_high,very_high,very_high,high,high,very_low,high,low,2015
Belgium,very_high,very_high,very_high,very_high,high,low,very_low,medium,medium,2015
Belgium,very_high,very_high,high,very_high,medium,very_low,low,medium,medium,2015
Belgium,very_high,very_high,high,very_high,medium,very_low,very_low,low,medium,2020
Belize,high,low,high,low,low,high,medium,high,medium,2005
Belize,high,low,low,low,high,high,medium,medium,high,2010
Benin,very_low,very_low,very_low,very_low,very_low,medium,medium,very_low,high,2005
Benin,very_low,very_low,very_low,very_low,low,medium,medium,very_low,high,2005
Benin,very_low,very_low,very_low,very_low,medium,very_low,high,low,low,2010
