variable,dtype,missing_pct,unique_values
ADM_RNO1,int64,0.0,108252
Province,int64,0.0,11
Health_region_ grouped,int64,0.0,91
Gender,int64,0.0,2
Marital_status,int64,0.0,4
Household,int64,0.0,3
Age,int64,0.0,5
Worked_job_business,int64,0.0,6
Edu_level,int64,0.0,4
Gen_health_state,int64,0.0,7
Life_satisfaction,int64,0.0,14
Mental_health_state,int64,0.0,8
Stress_level,int64,0.0,7
Work_stress,int64,0.0,9
Sense_belonging,int64,0.0,7
Weight_state,int64,0.0,7
BMI_12_17,int64,0.0,4
BMI_18_above,int64,0.0,4
Sleep_apnea,int64,0.0,4
High_BP,int64,0.0,4
High_cholestrol,int64,0.0,5
Diabetic,int64,0.0,5
Fatigue_syndrome,int64,0.0,4
Mood_disorder,int64,0.0,4
Anxiety_disorder,int64,0.0,4
Respiratory_chronic_con,int64,0.0,3
Musculoskeletal_con,int64,0.0,4
Cardiovascular_con,int64,0.0,3
Health_utility_indx,int64,0.0,3
Pain_status,int64,0.0,3
Act_improve_health,int64,0.0,6
Fruit_veg_con,float64,0.0,193
Smoked,float64,0.10161475076672949,54
Tobaco_use,int64,0.0,4
weekly_alcohol,int64,0.0,86
Cannabies_use,int64,0.0,5
Drug_use,int64,0.0,4
Total_active_time,int64,0.0,214
Total_physical_act_time,int64,0.0,210
Other_physical_act_time,int64,0.0,204
Physical_vigorous_act_time,int64,0.0,159
Work_hours ,int64,0.0,53
working_status ,int64,0.0,4
Aboriginal_identity,int64,0.0,5
Birth_country,int64,0.0,3
Immigrant,int64,0.0,3
Insurance_cover,int64,0.0,6
Food_security,int64,0.0,6
Income_source,int64,0.0,3
Total_income,int64,0.0,6
