variable,dtype,missing_pct,unique_values
Country,str,0.0,10
Year,int64,0.0,20
Happiness_Score,float64,0.0,500
GDP_per_Capita,float64,0.0,3999
Social_Support,float64,0.0,101
Healthy_Life_Expectancy,float64,0.0,2379
Freedom,float64,0.0,101
Generosity,float64,0.0,71
Corruption_Perception,float64,0.0,101
Unemployment_Rate,float64,0.0,1615
Education_Index,float64,0.0,51
Population,int64,0.0,4000
Urbanization_Rate,float64,0.0,2932
Life_Satisfaction,float64,0.0,501
Public_Trust,float64,0.0,101
Mental_Health_Index,float64,0.0,2910
Income_Inequality,float64,0.0,2505
Public_Health_Expenditure,float64,0.0,793
Climate_Index,float64,0.0,2996
Work_Life_Balance,float64,0.0,601
Internet_Access,float64,0.0,2889
Crime_Rate,float64,0.0,3064
Political_Stability,float64,0.0,101
Employment_Rate,float64,0.0,2729
